,measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio,location_name,age_median
1,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,302,Diarrheal diseases,1,Number,2021,1301087.96248901,1963176.5672989,916412.037709189,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
2,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,302,Diarrheal diseases,1,Number,2021,1240756.25663508,1832804.36336384,888397.50937495,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
3,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,302,Diarrheal diseases,1,Number,2021,1205562.86920114,1765001.61341157,834206.519181558,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
4,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,302,Diarrheal diseases,1,Number,2021,1144876.24651428,1681924.65471218,793127.302826786,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
5,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,302,Diarrheal diseases,1,Number,2021,1158652.6200199,1754689.10785262,788689.239069292,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
6,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,302,Diarrheal diseases,1,Number,2021,1285737.25602763,1969228.83518181,846161.929800439,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
7,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,302,Diarrheal diseases,1,Number,2021,1454914.20493891,2191440.56455769,946140.020811841,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
8,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,302,Diarrheal diseases,1,Number,2021,1696653.50788444,2583901.7996125,1059552.68058603,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
9,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,302,Diarrheal diseases,1,Number,2021,1932868.51151976,3055566.2194284,1186917.9398878,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
10,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,302,Diarrheal diseases,1,Number,2021,2285283.61940676,3640323.30834275,1353097.77318979,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
11,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,302,Diarrheal diseases,1,Number,2021,1873349.34154107,2919953.31794935,1160007.33326932,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
12,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,302,Diarrheal diseases,1,Number,2021,1611718.79264612,2466676.13997829,996307.543217036,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
13,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,302,Diarrheal diseases,1,Number,2021,964031.631274313,1504477.62320936,642732.837615059,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
